units = {
	
	##### Naval OOB #####
	fleet = {
		name = "1st Navy"			
		naval_base = 2121
		task_force = {
			name = "1st Navy"
			location = 2121


			ship = { name = "Musk" definition = heavy_cruiser equipment = { ship_hull_cruiser_1 = { amount = 1 owner = AVO version_name = "Basic Heavy Cruiser"} } }
			ship = { name = "Shor" definition = heavy_cruiser equipment = { ship_hull_cruiser_1 = { amount = 1 owner = AVO version_name = "Basic Heavy Cruiser"} } }
			ship = { name = "Amor" definition = heavy_cruiser equipment = { ship_hull_cruiser_1 = { amount = 1 owner = AVO version_name = "Basic Heavy Cruiser"} } }
			ship = { name = "Loren" definition = heavy_cruiser equipment = { ship_hull_cruiser_1 = { amount = 1 owner = AVO version_name = "Basic Heavy Cruiser"} } }

			ship = { name = "Unicorn" definition = light_cruiser equipment = { ship_hull_cruiser_1 = { amount = 1 owner = AVO version_name = "Basic Light Cruiser"} } }
			ship = { name = "Cam" definition = light_cruiser equipment = { ship_hull_cruiser_1 = { amount = 1 owner = AVO version_name = "Basic Light Cruiser"} } }
			ship = { name = "Tetcott" definition = light_cruiser equipment = { ship_hull_cruiser_1 = { amount = 1 owner = AVO version_name = "Basic Light Cruiser"} } }
			ship = { name = "Unbroken" definition = light_cruiser equipment = { ship_hull_cruiser_1 = { amount = 1 owner = AVO version_name = "Basic Light Cruiser"} } }
			ship = { name = "Griffin" definition = light_cruiser equipment = { ship_hull_cruiser_1 = { amount = 1 owner = AVO version_name = "Basic Light Cruiser"} } }
			ship = { name = "Pert" definition = light_cruiser equipment = { ship_hull_cruiser_1 = { amount = 1 owner = AVO version_name = "Basic Light Cruiser"} } }
			ship = { name = "Nurton" definition = light_cruiser equipment = { ship_hull_cruiser_1 = { amount = 1 owner = AVO version_name = "Basic Light Cruiser"} } }
			ship = { name = "Leeds" definition = light_cruiser equipment = { ship_hull_cruiser_1 = { amount = 1 owner = AVO version_name = "Basic Light Cruiser"} } }
			ship = { name = "Rugby" definition = light_cruiser equipment = { ship_hull_cruiser_1 = { amount = 1 owner = AVO version_name = "Basic Light Cruiser"} } }
			ship = { name = "Minstrel" definition = light_cruiser equipment = { ship_hull_cruiser_1 = { amount = 1 owner = AVO version_name = "Basic Light Cruiser"} } }
			ship = { name = "Kilbane" definition = light_cruiser equipment = { ship_hull_cruiser_1 = { amount = 1 owner = AVO version_name = "Basic Light Cruiser"} } }
			ship = { name = "Weazel" definition = light_cruiser equipment = { ship_hull_cruiser_1 = { amount = 1 owner = AVO version_name = "Basic Light Cruiser"} } }
			ship = { name = "Seafire" definition = light_cruiser equipment = { ship_hull_cruiser_1 = { amount = 1 owner = AVO version_name = "Basic Light Cruiser"} } }
			ship = { name = "Fundy" definition = light_cruiser equipment = { ship_hull_cruiser_1 = { amount = 1 owner = AVO version_name = "Basic Light Cruiser"} } }
			ship = { name = "Omdurman" definition = light_cruiser equipment = { ship_hull_cruiser_1 = { amount = 1 owner = AVO version_name = "Basic Light Cruiser"} } }
			ship = { name = "Oxlip" definition = light_cruiser equipment = { ship_hull_cruiser_1 = { amount = 1 owner = AVO version_name = "Basic Light Cruiser"} } }
			ship = { name = "Keats" definition = light_cruiser equipment = { ship_hull_cruiser_1 = { amount = 1 owner = AVO version_name = "Basic Light Cruiser"} } }


			ship = { name = "Hawke" definition = destroyer equipment = { ship_hull_light_1 = { amount = 1 owner = AVO version_name = "Basic Destroyer"} } }
			ship = { name = "Burford" definition = destroyer equipment = { ship_hull_light_1 = { amount = 1 owner = AVO version_name = "Basic Destroyer"} } }
			ship = { name = "Ouragan" definition = destroyer equipment = { ship_hull_light_1 = { amount = 1 owner = AVO version_name = "Basic Destroyer"} } }
			ship = { name = "Evans" definition = destroyer equipment = { ship_hull_light_1 = { amount = 1 owner = AVO version_name = "Basic Destroyer"} } }
			ship = { name = "Heron" definition = destroyer equipment = { ship_hull_light_1 = { amount = 1 owner = AVO version_name = "Basic Destroyer"} } }
			ship = { name = "Nesbitt" definition = destroyer equipment = { ship_hull_light_1 = { amount = 1 owner = AVO version_name = "Basic Destroyer"} } }
			ship = { name = "Mulette" definition = destroyer equipment = { ship_hull_light_1 = { amount = 1 owner = AVO version_name = "Basic Destroyer"} } }
			ship = { name = "Junon" definition = destroyer equipment = { ship_hull_light_1 = { amount = 1 owner = AVO version_name = "Basic Destroyer"} } }
			ship = { name = "Alisma" definition = destroyer equipment = { ship_hull_light_1 = { amount = 1 owner = AVO version_name = "Basic Destroyer"} } }
			ship = { name = "Melton" definition = destroyer equipment = { ship_hull_light_1 = { amount = 1 owner = AVO version_name = "Basic Destroyer"} } }

			ship = { name = "Havant" definition = submarine equipment = { ship_hull_submarine_1 = { amount = 1 owner = AVO version_name = "Basic Submarine" } } }
			ship = { name = "Mull" definition = submarine equipment = { ship_hull_submarine_1 = { amount = 1 owner = AVO version_name = "Basic Submarine" } } }
			ship = { name = "Ister" definition = submarine equipment = { ship_hull_submarine_1 = { amount = 1 owner = AVO version_name = "Basic Submarine" } } }
			ship = { name = "Russell" definition = submarine equipment = { ship_hull_submarine_1 = { amount = 1 owner = AVO version_name = "Basic Submarine" } } }
			ship = { name = "Wolf" definition = submarine equipment = { ship_hull_submarine_1 = { amount = 1 owner = AVO version_name = "Basic Submarine" } } }
			ship = { name = "Lion" definition = submarine equipment = { ship_hull_submarine_1 = { amount = 1 owner = AVO version_name = "Basic Submarine" } } }
			ship = { name = "Eagle" definition = submarine equipment = { ship_hull_submarine_1 = { amount = 1 owner = AVO version_name = "Basic Submarine" } } }

		}								
	}
}
